Nom du fichier,Aire du Rectangle,Aire de l'enveloppe,Ratio
test-258.points,136694.8256147362,108435.0,1.2606153512679137,1.3278830237540515
test-259.points,140410.0961148383,112648.5,1.2464444365867127,1.0989964409915356
test-260.points,138014.72066254905,110278.0,1.2515163555972093,1.1359245968297482
test-261.points,132654.93058622544,107281.0,1.2365184010796455,1.3145144328748621
test-262.points,141866.7608915304,112525.5,1.2607521041144487,1.1036888112187293
test-263.points,133160.36544528024,105441.0,1.2628898193803193,1.2178251009991277
test-264.points,139687.4635332252,108532.5,1.2870565363667583,1.1365047595830498
test-265.points,133590.0,107122.0,1.2470827654450067,1.3242317838030915
test-266.points,136545.22953624497,109714.5,1.2445504426146494,1.161756938312152
test-267.points,136734.99584503082,110054.5,1.2424298492567847,1.2864742607215665
test-268.points,132026.99190626683,105607.0,1.2501727338743345,1.2450506173651792
test-269.points,127394.76780386556,105083.5,1.2123194203073324,1.1898301892551508
test-270.points,132592.75641246344,106383.5,1.2463658030847211,1.2768611013565543
test-271.points,138004.7895147449,108937.5,1.2668253770716684,1.1340800197960577
test-272.points,142931.86601705235,113967.5,1.2541458399723813,1.1893613690008296
test-273.points,141247.24644993868,112506.5,1.2554585419503645,1.136834272299995
test-274.points,135258.54670109742,111036.5,1.2181449046133246,1.1089844282521106
test-275.points,135668.9543117664,109575.5,1.2381321948041888,1.1406827374761526
test-276.points,137208.8025559105,110960.5,1.236555373812397,1.1456526627510533
test-277.points,128918.20684786433,105600.0,1.220816352725988,1.2745224334176235
test-278.points,136853.8144329897,109112.5,1.2542450629670265,1.1530861966377792
test-279.points,135291.45945945944,110072.5,1.2291122620042194,1.1090700699520788
test-280.points,144486.9411764704,112440.5,1.285007992462417,1.1158685706085023
test-281.points,138123.02439024393,110791.0,1.24669895921369,1.1655042050485724
test-282.points,141806.5147373788,111873.5,1.2675612610437574,1.102555325707497
test-283.points,136731.5656108597,109379.0,1.2500714544003848,1.2888927316902201
test-284.points,144049.44963875902,114355.0,1.2596690100018277,1.1382975690209056
test-285.points,137942.95474452552,109823.0,1.256047956662316,1.1586724123467549
test-286.points,133354.67951480817,107156.5,1.2444852110213396,1.1681127001167995
test-287.points,142087.2045248867,112945.5,1.2580156316532018,1.2349170010150292
test-288.points,138112.27374685273,110007.0,1.2554862303930907,1.2171578884981826
test-289.points,131053.99999999996,105475.0,1.2425124437070392,1.2955848450355099
test-290.points,131402.0452178679,105316.5,1.2476871640993379,1.1628161316776207
test-291.points,140173.40046941466,111354.0,1.2588088480828228,1.2506779030631632
test-292.points,129596.26835943424,106117.0,1.2212583126118741,1.2514356374663929
test-293.points,128627.43363561414,104245.5,1.233889555286455,1.1709241318954755
test-294.points,139603.40594059404,111324.5,1.2540223036312226,1.1987368996215175
test-295.points,135413.5909846665,108701.0,1.2457437464666055,1.3074929154879138
test-296.points,140213.06714002293,112715.0,1.2439610268378027,1.2211133446237061
test-297.points,130444.3355935633,107102.0,1.217944908531711,1.3046532516177873
test-298.points,134627.63724834254,109228.0,1.2325377856258701,1.132365289918247
test-299.points,136678.07230895644,108070.5,1.2647121305902762,1.1679100408525644
test-300.points,133320.16356877316,105259.0,1.2665915842709237,1.1772792804784755
test-301.points,138946.28406693335,110453.0,1.2579674980936086,1.1176189273143708
test-302.points,134733.92002494345,110105.0,1.2236857547336037,1.225438446320459
test-303.points,138389.17333403233,109589.0,1.262801680223675,1.3782672220424648
test-304.points,132436.63227016883,108635.5,1.219091662211421,1.208576883532956
test-305.points,139057.82861762325,107822.5,1.2896921200827587,1.1582349527069087
test-306.points,141789.96194750702,111598.0,1.2705421418619243,1.110819839888832
test-307.points,138243.8265014298,111312.5,1.2419434160712393,1.2610171066447986
test-308.points,140010.85711042155,111255.5,1.2584623421801309,1.1178602366576496
test-309.points,130155.30201342281,104399.0,1.2467102368166632,1.1822858584551603
test-310.points,141652.43810216317,111284.5,1.2728856049329706,1.2622911576351377
test-311.points,137411.89189189172,111291.0,1.2347080347188157,1.2094446658772477
test-312.points,137580.15999999995,106819.0,1.2879746112582962,1.3058706628591483
test-313.points,140328.91490621914,108642.0,1.2916635822814302,1.3123539475373955
test-314.points,136317.75132837403,110829.0,1.2299826880001987,1.2395667714788359
test-315.points,137731.30043795612,109413.0,1.2588202538816788,1.2643407830872893
test-316.points,141388.0,111461.5,1.2684918110737788,1.1155315548025289
test-317.points,134779.7652794291,111104.5,1.2130900663738111,1.2579436555121595
test-318.points,135480.29268292684,106208.5,1.2756068740536477,1.3165177089005606
test-319.points,135294.24396782834,108753.5,1.2440449637743,1.284282914149055
test-320.points,136186.42532878704,111660.5,1.2196472819733661,1.2347605272744504
test-321.points,136052.15870239327,108733.5,1.2512441768396425,1.349647145450258
test-322.points,137210.97746724554,109711.0,1.2506583429851659,1.2919087040086976
test-323.points,123651.49670014344,102041.5,1.211776548758529,1.191105922693114
test-324.points,146386.8800519396,114934.5,1.2736548212411383,1.0903426412728374
test-325.points,136859.41600488703,109539.0,1.2494126841114765,1.2120876273891348
test-326.points,134592.0897852959,107393.5,1.253261042663624,1.209899099789849
test-327.points,139563.17156298997,111166.5,1.2554427058780295,1.222485829959575
test-328.points,143679.5081967213,113132.5,1.2700109004638038,1.2425360213868648
test-329.points,126100.65717981884,105009.5,1.2008499914752364,1.193846532707509
test-330.points,135520.25102319234,106765.0,1.2693321877318628,1.2280077461912562
test-331.points,136307.55408234472,110215.5,1.236736702935111,1.1763136660475777
test-332.points,137411.76470588238,111101.0,1.2368184328303289,1.244670749005854
test-333.points,137205.72127911565,110068.0,1.2465541417952144,1.299012305983549
test-334.points,138926.39999999997,112158.0,1.2386668806505106,1.1077026228511573
test-335.points,135516.98010983248,106968.5,1.2668867948025118,1.398903292472217
test-336.points,141914.92633238342,113050.0,1.2553288485836658,1.107488130577295
test-337.points,140159.5371749101,112114.5,1.2501463876207815,1.2692982993824689
test-338.points,137713.83519273682,110078.5,1.2510511606965649,1.173755096702256
test-339.points,137741.67725841864,108136.0,1.2737818789156121,1.140939409326115
test-340.points,141355.39135317234,112740.5,1.2538119961608503,1.1287265604104575
test-341.points,133964.40651667953,105388.5,1.2711482421391285,1.2172856663249836
test-342.points,134256.75596816975,109675.0,1.2241327191079987,1.1247041469758456
test-343.points,134021.95653298832,106298.0,1.2608135292572609,1.3221845519229645
test-344.points,132735.42100076636,104634.0,1.2685687348353916,1.3758043848418093
test-345.points,136515.24058355438,109521.5,1.246469785234446,1.2947222322105347
test-346.points,141382.05763059063,110221.5,1.282708524476537,1.2400994889644286
test-347.points,136260.38515380363,109873.0,1.2401625982161553,1.2964867506609976
test-348.points,137714.5,111415.5,1.2360443564854082,1.1174558220087711
test-349.points,136212.49416160656,109726.5,1.2413819283546506,1.2769029328860237
test-350.points,131859.23839999997,108220.5,1.218431243618353,1.198238243500495
test-351.points,141377.84959999993,109928.0,1.2860949858088924,1.2431973582792906
test-352.points,138398.20832256376,111546.5,1.2407221053333253,1.1727871275541737
test-353.points,137124.01721664265,110428.0,1.241750436634211,1.1515162204944573
test-354.points,138796.88184954223,110313.5,1.2582039537277145,1.2842236646855596
test-355.points,138583.9131861199,111108.0,1.2472901427990775,1.160839528268051
test-356.points,139114.77904993904,111582.0,1.246749287967047,1.1342883597506241
test-357.points,136152.27586206896,106602.0,1.2772018898526196,1.2457867895378596
test-358.points,135901.91082802558,108634.0,1.251007150873811,1.1411426734832422
test-359.points,138018.71614761942,109983.0,1.2549095419075622,1.1874422587771962
test-360.points,140185.5766440082,112277.0,1.2485689557434576,1.1708789148564953
test-361.points,129895.78904665314,105298.5,1.2335958161479332,1.255515647391106
test-362.points,139812.18041198203,111452.0,1.2544609375514304,1.1692033991378388
test-363.points,139562.12140466596,110338.5,1.2648542567160688,1.1726032224816907
test-364.points,140214.9230769231,111869.5,1.2533793668240503,1.1681801395514337
test-365.points,141105.43426069754,111688.5,1.263383734768553,1.1696361332129883
test-366.points,132309.10670179475,106889.0,1.2378177988548378,1.3691999816939064
test-367.points,133662.26444232598,110539.5,1.2091810116956019,1.2695591982776067
test-368.points,141730.7052671853,110149.0,1.2867180389035333,1.3230150002378664
test-369.points,136093.58270270264,108642.5,1.2526735182152715,1.1850324697600885
test-370.points,133289.88283157028,108663.0,1.2266354033256057,1.129001916694798
test-371.points,136518.0,108536.5,1.2578072814214574,1.2039810483606483
test-372.points,136250.96419985135,109270.5,1.246914438936871,1.2015134656380786
test-373.points,137266.1338286017,109741.0,1.2508190542149398,1.141358812959231
test-374.points,142395.57303370774,113281.0,1.2570119705308722,1.1671599720183286
test-375.points,129195.44452608372,105428.5,1.2254318758787588,1.1637866054207766
test-376.points,136993.36986301356,110908.5,1.2351927026604232,1.1965239255155395
test-377.points,135404.98576049498,108490.5,1.248081498015909,1.1712016431236285
test-378.points,135432.9755221199,106913.0,1.2667587245902734,1.1861162759558226
test-379.points,138888.8290179125,109005.5,1.2741451488036155,1.1555438218908185
test-380.points,136389.04303445067,108960.5,1.251729232469112,1.150168849391696
